batch,record_kind,source_path,source_heading,repository,original_path,normalized_path,rule
micro-02,file-destination,templates/README.md,,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02,file-destination,templates/adr-template.md,,ai-agent-governance-framework-next,templates/adr-template.md,toolkit/templates/adr-template.md,template-to-toolkit
micro-02,file-destination,templates/release-evidence-manifest.md,,ai-agent-governance-implementation-template,release/release-evidence-manifest.md,releases/release-evidence-manifest.md,canonical-implementation-tree
micro-02b,content-unit,assessments/README.md,Artefatos,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02b,content-unit,assessments/README.md,Assessments,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02b,content-unit,assessments/README.md,Requisitos mínimos,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02b,content-unit,schemas/README.md,Convenções,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02b,content-unit,schemas/README.md,Registry versus blueprint,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02b,content-unit,schemas/README.md,Schemas,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02b,content-unit,schemas/README.md,Schemas canônicos,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02b,content-unit,schemas/README.md,Validação,ai-agent-governance-framework-next,schemas/README.md,toolkit/schemas/README.md,schema-to-toolkit
micro-02b,content-unit,templates/README.md,Assessment e release,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02b,content-unit,templates/README.md,Comunicação e pesquisa,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
micro-02b,content-unit,templates/README.md,Governança e arquitetura,ai-agent-governance-framework-next,templates/README.md,toolkit/templates/README.md,template-to-toolkit
